,club,league,year
684,Sheffield United,Championship,2018
685,FC Augsburg,Bundesliga,2018
686,Urawa Red Diamonds,J1 League,2018
687,Brentford FC,Championship,2018
688,Seattle Sounders FC,MLS,2018
689,SC Braga,Liga NOS,2018
690,Cruzeiro Esporte Clube,Série A,2018
691,SC Amiens,Ligue 1,2018
692,Deportivo Toluca,Liga MX Clausura,2018
693,Grêmio Foot-Ball Porto Alegrense,Série A,2018
694,Roma Primavera,Primavera 1,2018
695,Shanghai Greenland Shenhua,Super League,2018
696,Asociación Atlética Argentinos Juniors,Primera División,2018
697,Istanbul Basaksehir,Süper Lig,2018
698,Norwich City,Championship,2018
699,Bröndby IF,Superligaen Championship round,2018
700,Club Atlético Huracán,Primera División,2018
701,US Palermo,Serie B,2018
702,Kasimpasa,Süper Lig,2018
703,Reading FC,Championship,2018
704,Rapid Vienna,Bundesliga,2018
705,Juventus Primavera,Primavera 1,2018
706,Wigan Athletic,Championship,2018
707,AC Perugia Calcio,Serie B,2018
708,1.FC Nuremberg,Bundesliga,2018
709,AEK Athens,Super League,2018
710,Zamalek SC,Premier League,2018
711,Club Universidad de Chile,Primera División,2018
712,Hapoel Beer Sheva,Ligat ha'Al,2018
713,Alanyaspor,Süper Lig,2018
714,SCO Angers,Ligue 1,2018
715,Al-Shabab Riyadh,Professional League,2018
716,Juventus U23,Serie C - A,2018
717,Sunderland AFC,League One,2018
718,Club León FC,Liga MX Clausura,2018
719,PFK Ludogorets Razgrad,Parva Liga,2018
720,Real Madrid U19,Spain,2018
721,US Cremonese,Serie B,2018
722,FC Crotone,Serie B,2018
723,UD Las Palmas,LaLiga2,2018
724,Brescia Calcio,Serie B,2018
725,FC Dallas,MLS,2018
726,Delfino Pescara 1936,Serie B,2018
727,Minnesota United FC,MLS,2018
728,AC Sparta Praha,Fortuna Liga,2018
729,Club Atlético San Lorenzo de Almagro,Primera División,2018
730,Akhmat Grozny,Premier Liga,2018
731,EA Guingamp,Ligue 1,2018
732,Ipswich Town,Championship,2018
733,Atlas Guadalajara,Liga MX Clausura,2018
734,Konyaspor,Süper Lig,2018
735,Monarcas Morelia,Liga MX Clausura,2018
736,FC Groningen,Eredivisie,2018
737,Millwall FC,Championship,2018
738,Ferencvárosi TC,NB I.,2018
739,Vitória Guimarães SC,Liga NOS,2018
740,US Salernitana 1919,Serie B,2018
741,Club Atlético Vélez Sarsfield,Primera División,2018
742,Portimonense SC,Liga NOS,2018
743,Nîmes Olympique,Ligue 1,2018
744,Guizhou Hengfeng,League One,2018
745,Ceará Sporting Club,Série A,2018
746,Molde FK,Eliteserien,2018
747,Club Necaxa,Liga MX Clausura,2018
748,Rosenborg BK,Eliteserien,2018
749,Puebla FC,Liga MX Clausura,2018
